transaction_id,transaction_status,payment_currency,card_country_code,Transaction_detail
72,abandoned,USD,NULL,NULL
73,abandoned,NGN,NULL,NULL
74,abandoned,NGN,NULL,NULL
75,success,NGN,NG,"Naira transactions with Naira card"
76,abandoned,NGN,NULL,NULL
77,failed,NGN,NG,"Naira transactions with Naira card"
78,success,NGN,NG,"Naira transactions with Naira card"
79,abandoned,NGN,NULL,NULL
80,success,NGN,NG,"Naira transactions with Naira card"
81,success,NGN,NG,"Naira transactions with Naira card"
82,abandoned,NGN,NULL,NULL
83,success,USD,US,"Dollar transactions with foreign card"
84,success,NGN,NG,"Naira transactions with Naira card"
85,success,NGN,NG,"Naira transactions with Naira card"
86,abandoned,NGN,NULL,NULL
87,success,NGN,NG,"Naira transactions with Naira card"
88,failed,NGN,US,"Naira transactions with foreign card"
89,success,USD,US,"Dollar transactions with foreign card"
90,abandoned,NGN,NULL,NULL
91,abandoned,NGN,NULL,NULL
92,success,NGN,NG,"Naira transactions with Naira card"
93,abandoned,NGN,NULL,NULL
94,abandoned,NGN,NULL,NULL
95,success,NGN,NG,"Naira transactions with Naira card"
96,abandoned,USD,NULL,NULL
97,success,NGN,NG,"Naira transactions with Naira card"
98,failed,NGN,NG,"Naira transactions with Naira card"
99,abandoned,NGN,NULL,NULL
100,abandoned,USD,NULL,NULL
101,failed,NGN,NG,"Naira transactions with Naira card"
102,abandoned,NGN,NULL,NULL
103,success,NGN,GB,"Naira transactions with foreign card"
104,success,USD,US,"Dollar transactions with foreign card"
105,abandoned,NGN,NULL,NULL
106,success,USD,NULL,NULL
107,abandoned,NGN,NULL,NULL
108,success,NGN,GB,"Naira transactions with foreign card"
109,abandoned,NGN,NULL,NULL
110,abandoned,NGN,NULL,NULL
111,abandoned,USD,NULL,NULL
112,abandoned,NGN,NULL,NULL
113,success,NGN,NG,"Naira transactions with Naira card"
114,abandoned,NGN,NULL,NULL
115,abandoned,NGN,NULL,NULL
116,success,NGN,NG,"Naira transactions with Naira card"
117,abandoned,NGN,NULL,NULL
118,abandoned,USD,NULL,NULL
119,abandoned,NGN,NULL,NULL
120,success,NGN,NG,"Naira transactions with Naira card"
121,abandoned,NGN,NULL,NULL
122,abandoned,NGN,NULL,NULL
123,success,NGN,NG,"Naira transactions with Naira card"
124,success,NGN,NG,"Naira transactions with Naira card"
125,success,NGN,NG,"Naira transactions with Naira card"
126,success,NGN,NG,"Naira transactions with Naira card"
127,abandoned,USD,IT,"Dollar transactions with foreign card"
128,abandoned,USD,NULL,NULL
129,success,NGN,NG,"Naira transactions with Naira card"
130,success,NGN,US,"Naira transactions with foreign card"
131,success,NGN,NG,"Naira transactions with Naira card"
132,failed,NGN,NG,"Naira transactions with Naira card"
133,failed,NGN,NG,"Naira transactions with Naira card"
134,abandoned,NGN,NULL,NULL
135,success,NGN,NG,"Naira transactions with Naira card"
136,success,NGN,NG,"Naira transactions with Naira card"
137,failed,USD,US,"Dollar transactions with foreign card"
138,abandoned,NGN,NULL,NULL
139,success,NGN,NG,"Naira transactions with Naira card"
140,success,NGN,NG,"Naira transactions with Naira card"
141,success,NGN,NG,"Naira transactions with Naira card"
142,success,NGN,NG,"Naira transactions with Naira card"
143,abandoned,USD,NULL,NULL
144,abandoned,NGN,NULL,NULL
145,failed,USD,US,"Dollar transactions with foreign card"
146,reversed,NGN,NG,"Naira transactions with Naira card"
147,success,NGN,NG,"Naira transactions with Naira card"
148,abandoned,USD,NULL,NULL
149,abandoned,NGN,NG,"Naira transactions with Naira card"
150,success,NGN,NG,"Naira transactions with Naira card"
151,failed,NGN,NG,"Naira transactions with Naira card"
152,success,NGN,NG,"Naira transactions with Naira card"
153,abandoned,USD,NULL,NULL
154,success,NGN,NG,"Naira transactions with Naira card"
155,abandoned,NGN,NULL,NULL
156,failed,NGN,NG,"Naira transactions with Naira card"
157,success,NGN,NG,"Naira transactions with Naira card"
158,success,NGN,NG,"Naira transactions with Naira card"
159,abandoned,NGN,NG,"Naira transactions with Naira card"
160,success,NGN,US,"Naira transactions with foreign card"
161,abandoned,NGN,NULL,NULL
162,success,NGN,NG,"Naira transactions with Naira card"
163,success,USD,GB,"Dollar transactions with foreign card"
164,abandoned,NGN,NULL,NULL
165,abandoned,NGN,NULL,NULL
166,success,NGN,NG,"Naira transactions with Naira card"
167,abandoned,USD,NULL,NULL
168,abandoned,NGN,NULL,NULL
169,abandoned,NGN,NULL,NULL
170,failed,NGN,NG,"Naira transactions with Naira card"
171,success,NGN,NG,"Naira transactions with Naira card"
172,abandoned,NGN,NULL,NULL
173,success,NGN,NG,"Naira transactions with Naira card"
174,success,NGN,NG,"Naira transactions with Naira card"
175,failed,NGN,US,"Naira transactions with foreign card"
176,abandoned,USD,NULL,NULL
177,success,NGN,NG,"Naira transactions with Naira card"
178,abandoned,NGN,NULL,NULL
179,abandoned,NGN,NULL,NULL
180,abandoned,USD,NULL,NULL
181,success,NGN,NG,"Naira transactions with Naira card"
182,failed,NGN,NG,"Naira transactions with Naira card"
183,success,NGN,NG,"Naira transactions with Naira card"
184,abandoned,NGN,NULL,NULL
185,abandoned,USD,NULL,NULL
186,abandoned,NGN,NULL,NULL
187,success,NGN,NG,"Naira transactions with Naira card"
188,abandoned,NGN,NULL,NULL
189,abandoned,NGN,NULL,NULL
190,failed,USD,US,"Dollar transactions with foreign card"
191,abandoned,NGN,NULL,NULL
192,abandoned,NGN,NULL,NULL
193,success,NGN,NG,"Naira transactions with Naira card"
194,success,NGN,NG,"Naira transactions with Naira card"
195,abandoned,NGN,NULL,NULL
196,success,NGN,NG,"Naira transactions with Naira card"
197,failed,USD,NG,"Dollar transactions with Naira card"
198,success,NGN,NG,"Naira transactions with Naira card"
199,success,USD,IE,"Dollar transactions with foreign card"
200,success,NGN,NG,"Naira transactions with Naira card"
201,abandoned,NGN,NULL,NULL
202,abandoned,NGN,NULL,NULL
203,abandoned,USD,NULL,NULL
204,abandoned,NGN,NULL,NULL
205,failed,NGN,NG,"Naira transactions with Naira card"
206,success,USD,NG,"Dollar transactions with Naira card"
207,success,USD,ZA,"Dollar transactions with foreign card"
208,abandoned,NGN,NULL,NULL
209,success,NGN,NG,"Naira transactions with Naira card"
210,abandoned,NGN,NULL,NULL
211,abandoned,NGN,NULL,NULL
212,success,NGN,NG,"Naira transactions with Naira card"
213,success,NGN,NG,"Naira transactions with Naira card"
214,abandoned,NGN,NULL,NULL
215,failed,NGN,NG,"Naira transactions with Naira card"
216,abandoned,NGN,NULL,NULL
217,success,NGN,GB,"Naira transactions with foreign card"
218,abandoned,NGN,NULL,NULL
219,success,USD,US,"Dollar transactions with foreign card"
220,success,NGN,NG,"Naira transactions with Naira card"
221,abandoned,USD,US,"Dollar transactions with foreign card"
222,success,NGN,NG,"Naira transactions with Naira card"
223,success,NGN,NG,"Naira transactions with Naira card"
224,failed,USD,US,"Dollar transactions with foreign card"
225,abandoned,NGN,NULL,NULL
226,success,NGN,NG,"Naira transactions with Naira card"
227,failed,USD,US,"Dollar transactions with foreign card"
228,abandoned,USD,NULL,NULL
229,abandoned,NGN,NG,"Naira transactions with Naira card"
230,success,NGN,NG,"Naira transactions with Naira card"
231,abandoned,NGN,NULL,NULL
232,failed,NGN,CA,"Naira transactions with foreign card"
233,abandoned,NGN,NULL,NULL
234,success,NGN,NG,"Naira transactions with Naira card"
235,abandoned,NGN,NULL,NULL
236,abandoned,NGN,NULL,NULL
237,success,NGN,NG,"Naira transactions with Naira card"
238,abandoned,NGN,US,"Naira transactions with foreign card"
239,success,USD,GB,"Dollar transactions with foreign card"
240,success,NGN,NG,"Naira transactions with Naira card"
241,abandoned,USD,US,"Dollar transactions with foreign card"
242,abandoned,NGN,NULL,NULL
243,failed,NGN,NG,"Naira transactions with Naira card"
244,failed,USD,US,"Dollar transactions with foreign card"
245,abandoned,NGN,NG,"Naira transactions with Naira card"
246,success,NGN,NG,"Naira transactions with Naira card"
247,success,NGN,NG,"Naira transactions with Naira card"
248,success,NGN,NG,"Naira transactions with Naira card"
249,reversed,NGN,NG,"Naira transactions with Naira card"
250,abandoned,NGN,NULL,NULL
251,success,USD,CA,"Dollar transactions with foreign card"
252,abandoned,NGN,NULL,NULL
253,success,NGN,NG,"Naira transactions with Naira card"
254,success,NGN,NG,"Naira transactions with Naira card"
255,success,NGN,NG,"Naira transactions with Naira card"
256,success,NGN,NG,"Naira transactions with Naira card"
257,abandoned,USD,NULL,NULL
258,failed,USD,GB,"Dollar transactions with foreign card"
259,failed,NGN,NG,"Naira transactions with Naira card"
260,success,NGN,NG,"Naira transactions with Naira card"
261,abandoned,NGN,NULL,NULL
262,abandoned,NGN,NULL,NULL
263,abandoned,USD,NULL,NULL
264,success,NGN,GB,"Naira transactions with foreign card"
265,abandoned,NGN,NULL,NULL
266,abandoned,NGN,NULL,NULL
267,failed,NGN,NG,"Naira transactions with Naira card"
268,success,NGN,NG,"Naira transactions with Naira card"
269,abandoned,NGN,NULL,NULL
270,abandoned,NGN,NULL,NULL
271,success,USD,US,"Dollar transactions with foreign card"
272,success,NGN,NG,"Naira transactions with Naira card"
273,success,NGN,GB,"Naira transactions with foreign card"
274,success,NGN,NG,"Naira transactions with Naira card"
275,abandoned,NGN,NULL,NULL
276,failed,NGN,NG,"Naira transactions with Naira card"
277,success,NGN,NG,"Naira transactions with Naira card"
278,success,NGN,NG,"Naira transactions with Naira card"
279,abandoned,NGN,NULL,NULL
280,abandoned,USD,NULL,NULL
281,abandoned,NGN,NULL,NULL
282,abandoned,NGN,NULL,NULL
283,success,NGN,NG,"Naira transactions with Naira card"
284,abandoned,NGN,NULL,NULL
285,abandoned,NGN,NULL,NULL
286,success,NGN,NG,"Naira transactions with Naira card"
287,abandoned,USD,NULL,NULL
288,abandoned,NGN,NULL,NULL
289,abandoned,NGN,NG,"Naira transactions with Naira card"
290,abandoned,NGN,NULL,NULL
291,abandoned,USD,NULL,NULL
292,success,NGN,NG,"Naira transactions with Naira card"
293,abandoned,NGN,NULL,NULL
294,abandoned,NGN,NG,"Naira transactions with Naira card"
295,success,NGN,NG,"Naira transactions with Naira card"
296,abandoned,NGN,NULL,NULL
297,success,NGN,NG,"Naira transactions with Naira card"
298,abandoned,NGN,NULL,NULL
299,success,NGN,NG,"Naira transactions with Naira card"
300,abandoned,NGN,NULL,NULL
301,success,USD,GB,"Dollar transactions with foreign card"
302,success,NGN,ZA,"Naira transactions with foreign card"
303,success,NGN,NG,"Naira transactions with Naira card"
304,abandoned,USD,NULL,NULL
305,abandoned,NGN,NULL,NULL
306,success,NGN,US,"Naira transactions with foreign card"
307,success,USD,NULL,NULL
308,failed,USD,US,"Dollar transactions with foreign card"
309,success,NGN,NG,"Naira transactions with Naira card"
310,abandoned,NGN,NULL,NULL
311,success,NGN,NG,"Naira transactions with Naira card"
312,success,NGN,NG,"Naira transactions with Naira card"
313,success,NGN,NG,"Naira transactions with Naira card"
314,failed,NGN,NG,"Naira transactions with Naira card"
315,success,NGN,NG,"Naira transactions with Naira card"
316,abandoned,NGN,NULL,NULL
317,abandoned,NGN,NULL,NULL
318,success,NGN,NG,"Naira transactions with Naira card"
319,success,NGN,NG,"Naira transactions with Naira card"
320,success,NGN,NG,"Naira transactions with Naira card"
321,abandoned,NGN,NULL,NULL
322,success,NGN,NG,"Naira transactions with Naira card"
323,success,NGN,NG,"Naira transactions with Naira card"
324,success,NGN,NG,"Naira transactions with Naira card"
325,failed,NGN,NG,"Naira transactions with Naira card"
326,success,NGN,NG,"Naira transactions with Naira card"
327,abandoned,NGN,NULL,NULL
328,success,NGN,NG,"Naira transactions with Naira card"
329,abandoned,USD,NULL,NULL
330,abandoned,NGN,NULL,NULL
331,success,USD,US,"Dollar transactions with foreign card"
332,abandoned,NGN,NULL,NULL
333,failed,NGN,NG,"Naira transactions with Naira card"
334,abandoned,NGN,NULL,NULL
335,success,NGN,NG,"Naira transactions with Naira card"
336,abandoned,NGN,NULL,NULL
337,abandoned,NGN,NULL,NULL
338,failed,USD,US,"Dollar transactions with foreign card"
339,success,NGN,NG,"Naira transactions with Naira card"
340,abandoned,NGN,NULL,NULL
341,abandoned,NGN,NULL,NULL
342,success,NGN,NG,"Naira transactions with Naira card"
343,success,USD,US,"Dollar transactions with foreign card"
344,success,NGN,NG,"Naira transactions with Naira card"
345,success,NGN,NG,"Naira transactions with Naira card"
346,success,NGN,NG,"Naira transactions with Naira card"
347,abandoned,NGN,NULL,NULL
348,abandoned,NGN,NULL,NULL
349,abandoned,NGN,NULL,NULL
350,abandoned,NGN,NULL,NULL
351,abandoned,NGN,NULL,NULL
352,abandoned,NGN,NULL,NULL
353,success,NGN,NG,"Naira transactions with Naira card"
354,abandoned,USD,NULL,NULL
355,success,NGN,NG,"Naira transactions with Naira card"
356,failed,NGN,NULL,NULL
357,failed,NGN,BD,"Naira transactions with foreign card"
358,success,USD,US,"Dollar transactions with foreign card"
359,abandoned,NGN,NULL,NULL
360,abandoned,NGN,NULL,NULL
361,abandoned,NGN,NULL,NULL
362,failed,USD,NULL,NULL
363,success,NGN,NG,"Naira transactions with Naira card"
364,success,NGN,NG,"Naira transactions with Naira card"
365,success,NGN,NG,"Naira transactions with Naira card"
366,abandoned,NGN,NULL,NULL
367,abandoned,NGN,NULL,NULL
368,success,NGN,NG,"Naira transactions with Naira card"
369,failed,NGN,NG,"Naira transactions with Naira card"
370,abandoned,NGN,NULL,NULL
371,failed,NGN,GB,"Naira transactions with foreign card"
372,abandoned,NGN,NULL,NULL
373,success,NGN,NG,"Naira transactions with Naira card"
374,success,NGN,NG,"Naira transactions with Naira card"
375,abandoned,NGN,NULL,NULL
376,failed,NGN,NG,"Naira transactions with Naira card"
377,abandoned,USD,NULL,NULL
378,abandoned,NGN,NG,"Naira transactions with Naira card"
379,abandoned,USD,NULL,NULL
380,abandoned,NGN,NULL,NULL
381,success,NGN,NG,"Naira transactions with Naira card"
382,success,NGN,NG,"Naira transactions with Naira card"
383,success,NGN,NG,"Naira transactions with Naira card"
384,success,NGN,NG,"Naira transactions with Naira card"
385,abandoned,USD,NULL,NULL
386,abandoned,NGN,NULL,NULL
387,abandoned,NGN,NULL,NULL
388,success,NGN,NG,"Naira transactions with Naira card"
389,success,NGN,NG,"Naira transactions with Naira card"
390,abandoned,USD,US,"Dollar transactions with foreign card"
391,abandoned,NGN,NULL,NULL
392,abandoned,NGN,NULL,NULL
393,success,NGN,NG,"Naira transactions with Naira card"
394,abandoned,NGN,NULL,NULL
395,abandoned,NGN,NULL,NULL
396,abandoned,USD,NULL,NULL
397,success,USD,ZA,"Dollar transactions with foreign card"
398,success,NGN,GB,"Naira transactions with foreign card"
399,success,NGN,NG,"Naira transactions with Naira card"
400,abandoned,NGN,NULL,NULL
401,abandoned,NGN,NULL,NULL
402,reversed,NGN,NG,"Naira transactions with Naira card"
403,success,NGN,NG,"Naira transactions with Naira card"
404,success,NGN,NG,"Naira transactions with Naira card"
405,abandoned,NGN,NULL,NULL
406,abandoned,NGN,NULL,NULL
407,success,NGN,NG,"Naira transactions with Naira card"
408,success,NGN,NG,"Naira transactions with Naira card"
409,success,NGN,NG,"Naira transactions with Naira card"
410,success,NGN,GB,"Naira transactions with foreign card"
411,reversed,NGN,NG,"Naira transactions with Naira card"
412,failed,NGN,CA,"Naira transactions with foreign card"
413,success,NGN,NG,"Naira transactions with Naira card"
414,failed,NGN,NG,"Naira transactions with Naira card"
415,abandoned,NGN,NULL,NULL
416,failed,NGN,NG,"Naira transactions with Naira card"
417,abandoned,NGN,NULL,NULL
418,success,NGN,NG,"Naira transactions with Naira card"
419,abandoned,NGN,NULL,NULL
420,success,NGN,NG,"Naira transactions with Naira card"
421,abandoned,NGN,NULL,NULL
422,abandoned,NGN,NULL,NULL
423,success,NGN,NG,"Naira transactions with Naira card"
424,abandoned,NGN,NULL,NULL
425,failed,NGN,US,"Naira transactions with foreign card"
426,failed,NGN,NULL,NULL
427,success,NGN,NG,"Naira transactions with Naira card"
428,abandoned,NGN,NULL,NULL
429,abandoned,NGN,NULL,NULL
430,success,NGN,NG,"Naira transactions with Naira card"
431,success,NGN,NG,"Naira transactions with Naira card"
432,success,NGN,NG,"Naira transactions with Naira card"
433,success,NGN,NG,"Naira transactions with Naira card"
434,abandoned,NGN,NULL,NULL
435,success,NGN,NG,"Naira transactions with Naira card"
436,success,USD,JP,"Dollar transactions with foreign card"
437,success,NGN,NG,"Naira transactions with Naira card"
438,abandoned,NGN,NULL,NULL
439,abandoned,NGN,NULL,NULL
440,abandoned,NGN,NULL,NULL
441,abandoned,NGN,NULL,NULL
442,success,NGN,NG,"Naira transactions with Naira card"
443,success,NGN,NG,"Naira transactions with Naira card"
444,abandoned,NGN,NULL,NULL
445,abandoned,NGN,NULL,NULL
446,success,NGN,NG,"Naira transactions with Naira card"
447,abandoned,NGN,NULL,NULL
448,abandoned,USD,NULL,NULL
449,abandoned,NGN,NULL,NULL
450,reversed,USD,GB,"Dollar transactions with foreign card"
451,abandoned,NGN,NULL,NULL
452,abandoned,USD,NULL,NULL
453,success,NGN,NG,"Naira transactions with Naira card"
454,abandoned,NGN,NULL,NULL
455,abandoned,NGN,NULL,NULL
456,abandoned,NGN,NULL,NULL
457,abandoned,NGN,NULL,NULL
458,success,NGN,NG,"Naira transactions with Naira card"
459,failed,USD,US,"Dollar transactions with foreign card"
460,success,USD,NULL,NULL
461,abandoned,NGN,NULL,NULL
462,abandoned,NGN,NULL,NULL
463,abandoned,NGN,NULL,NULL
464,abandoned,NGN,NULL,NULL
465,failed,NGN,NG,"Naira transactions with Naira card"
466,success,NGN,NG,"Naira transactions with Naira card"
467,failed,NGN,US,"Naira transactions with foreign card"
468,abandoned,USD,NULL,NULL
469,abandoned,NGN,NULL,NULL
470,success,NGN,NG,"Naira transactions with Naira card"
471,success,NGN,NG,"Naira transactions with Naira card"
472,abandoned,NGN,NULL,NULL
